Modelo/Ferramenta,Desenvolvedor,Parâmetros/Tamanho,Funcionalidades Principais,Requisitos de Hardware,Integração/Arquitetura,Fonte
Claude Code,Anthropic,Not in source,Interface de linha de comando (CLI) para automação de tarefas de engenharia e diagnóstico de sistemas.,Execução via CLI com consumo de API.,Arquitetura baseada em agentes e subagentes; Integração via terminal.,"11, 18"
GPT-OSS 20B,Not in source,20B (3.6B ativos),Navegação web via Tool Calling e extração de dados de sites com raciocínio ajustável.,12GB RAM (4 bits); Recomendado 16GB VRAM.,Mixture of Experts (MoE); Contexto de 131k tokens.,8
Quenter 30B,Not in source,30B (3.3B ativos),"Especialista em codificação, design responsivo e suporte a agentes (Open Code/Cloud Code).",Mínimo 24GB VRAM; Ideal 32GB de memória unificada (Mac).,Mixture of Experts (MoE) com 128 experts (8 ativos).,8
LFM 2 / 2.5,Not in source,1.2B a 24B,Implantação em dispositivos (on-device) e ferramentas.,Not in source,Arquitetura híbrida.,7
MiniMax M2.5 / M2.7 / M3,MiniMax,229B (M2.7),"Produtividade no mundo real, codificação e multimodularidade nativa.",M2.7 roda em Mac M3 Ultra (256GB RAM).,Janela de contexto de 1M (M3); Disponível via nuvem.,"10, 7"
FAS (Faz),ViktorKav,Not in source,"Conversão de imagens, download de vídeos e organização de arquivos via utilitários locais.",Roda sobre hardware local.,Sistema de 'duas voltas' com verificação de segurança (blocklist).,4
Script Suporte / AI,ViktorKav,Not in source,"Diagnóstico de sistemas (Logs, DNS, SSH) e assistente rápido via terminal.",Executa em rede local (ex: Zima Board).,Conexão direta via terminal ao modelo Gemma.,4
Zima Cube / Board 2,IceWhale,16GB a 64GB RAM,Hardware: Armazenamento centralizado para modelos de IA e servidor de arquivos.,"Slots NVME, PCIe, Thunderbolt.",ZimaOS (Linux); Suporta Dual Boot com Ubuntu.,10
Intel Arc B570 / B70,Intel,32GB VRAM,GPU para execução local de LLMs com foco em custo-benefício.,Interface PCIe; Necessita drivers específicos (Ubuntu).,Arquitetura de GPU Intel para IA.,"9, 10"
RTX 5090 / 2000 Pro,NVIDIA,16GB a 32GB VRAM,Alta velocidade de processamento e IA de baixo consumo (RTX 2000).,RTX 5090 possui alto consumo; RTX 2000 consome 70W.,Arquitetura CUDA.,10
vLLM,Comunidade,Not in source,Servir modelos para múltiplos usuários com API estilo OpenAI.,Ideal para servidores de inferência em produção.,Runtime de alto desempenho.,1
Llama.cpp,Comunidade,Not in source,Execução local de LLMs com suporte ao formato GGUF.,Indicado para uso local individual.,Runtime para inferência local.,1
LM Studio,LM Studio,Not in source,Ferramenta gratuita para rodar IAs localmente.,Máquina local.,Local.,17
Turbo Quant,Google,Not in source,Técnica para reduzir a VRAM necessária para hospedar LLMs.,Otimiza o uso de VRAM na GPU.,Focado em eficiência de inferência.,1
DeepSeek,DeepSeek,Not in source,Extração de dados e monitoramento.,Rodou em VPS de 8GB RAM (4.9 tokens/s).,Not in source,3
Nemotron,NVIDIA,Not in source,Extração de dados (apresentou alta taxa de alucinação nos materiais).,Rodou em VPS de 8GB RAM (6.4 tokens/s).,Disponível via Ollama.,3
